("Michael Thomas","NOR",26,"WR",16,15,185,149,80.5,1725,11.6,9,91,49,9.3,9.3,107.8,1),
("Keenan Allen","LAC",27,"WR",16,16,149,104,69.8,1199,11.5,6,63,45,8.0,6.5,74.9,0),
("DeAndre Hopkins","HOU",27,"WR",15,15,150,104,69.3,1165,11.2,7,68,43,7.8,6.9,77.7,0),
("Julian Edelman","NWE",33,"WR",16,13,153,100,65.4,1117,11.2,6,54,44,7.3,6.3,69.8,3),
("Julio Jones","ATL",30,"WR",15,15,157,99,63.1,1394,14.1,6,77,54,8.9,6.6,92.9,1),
("Allen Robinson","CHI",26,"WR",16,15,154,98,63.6,1147,11.7,7,63,49,7.4,6.1,71.7,0),
("Cooper Kupp","LAR",26,"WR",16,14,134,94,70.1,1161,12.4,10,51,66,8.7,5.9,72.6,3),
("Tyler Boyd","CIN",25,"WR",16,15,148,90,60.8,1046,11.6,5,51,47,7.1,5.6,65.4,2),
("Robert Woods","LAR",27,"WR",15,15,139,90,64.7,1134,12.6,2,54,48,8.2,6.0,75.6,0),
("D.J. Moore","CAR",22,"WR",15,15,135,87,64.4,1175,13.5,4,63,52,8.7,5.8,78.3,2),
("Chris Godwin","TAM",23,"WR",14,14,121,86,71.1,1333,15.5,9,63,71,11.0,6.1,95.2,0),
("Davante Adams","GNB",27,"WR",12,12,127,83,65.4,997,12.0,5,54,58,7.9,6.9,83.1,2),
("Jarvis Landry","CLE",27,"WR",16,16,138,83,60.1,1174,14.1,6,55,65,8.5,5.2,73.4,0),
("Tyler Lockett","SEA",27,"WR",16,16,110,82,74.5,1057,12.9,8,53,44,9.6,5.1,66.1,1),
("Amari Cooper","DAL",25,"WR",16,16,119,79,66.4,1189,15.1,8,54,53,10.0,4.9,74.3,0),
("Jamison Crowder","NYJ",26,"WR",16,12,122,78,63.9,833,10.7,6,41,41,6.8,4.9,52.1,0),
("Larry Fitzgerald","ARI",36,"WR",16,16,109,75,68.8,804,10.7,4,40,54,7.4,4.7,50.3,1),
("Odell Beckham Jr","CLE",27,"WR",16,15,133,74,55.6,1035,14.0,4,44,89,7.8,4.6,64.7,1),
("DJ Chark","JAX",23,"WR",15,14,118,73,61.9,1008,13.8,8,42,69,8.5,4.9,67.2,0),
("John Brown","BUF",29,"WR",15,15,115,72,62.6,1060,14.7,6,53,53,9.2,4.8,70.7,0),
("Jared Goff","LAR",25,"QB",16,16,0,394,62.9,4638,0,22,220,66,11.8,0,0,0),
("Jameis Winston","TAM",25,"QB",16,16,0,380,60.7,5109,0,33,243,71,13.4,0,0,0),
("Matt Ryan","ATL",34,"QB",15,15,0,408,66.2,4466,0,26,228,93,10.9,0,0,0),
("Tom Brady","NWE",42,"QB",16,16,0,373,60.8,4057,0,24,193,59,10.9,0,0,0),
("Carson Wentz","PHI",27,"QB",16,16,0,388,63.9,4039,0,27,213,53,10.4,0,0,0),
("Dak Prescott","DAL",26,"QB",16,16,0,388,65.1,4902,0,30,229,62,12.6,0,0,0),
("Philip Rivers","LAC",38,"QB",16,16,0,390,66.0,4615,0,23,217,84,11.8,0,0,0),
